Official_ID,Point_ID,Northing,Easting,Elevation_ussft,Elevation_m,,,,,,,,,,,,
,xsD-22,1768015.685,6417039.257,4.538,1.383185166,,,,,,,,,,,,
,xsD-23,1768018.546,6417039.306,4.385,1.336550673,,,,,,,,,,,,
,xsD-24,1768020.268,6417039.357,4.377,1.334112268,,,,,,,,,,,,
,xsD-25,1768021.311,6417039.311,4.212,1.283820168,,,,,,,,,,,,
,xsD-26,1768024.434,6417039.472,3.99,1.216154432,,,,,,,,,,,,
,xsD-27,1768027.497,6417040.153,3.951,1.204267209,,,,,,,,,,,,
,xsD-28,1768027.465,6417039.575,6.858,2.090322581,,,,,,,,,,,,
BM1,BM1post-1,1766270.146,6418508.937,8.528,2.599339599,,,,,,,,,,,,
BM1,BM1post-2,1766270.191,6418508.948,8.557,2.608178816,,,,,,,,,,,,
BM1,BM1post-3,1766270.171,6418508.978,8.573,2.613055626,,,,,,,,,,,,
BM1,BM1post-4,1766270.14,6418508.969,8.554,2.607264415,,,,,,,,,,,,
BM1,BM1post-5,1766270.137,6418508.953,8.522,2.597510795,,,,,,,,,,,,
