Job:GiantMarsh-06022025,Version:24.00,Units:USSurveyFeet
gm-4-ep-50,2188286.607,6025872.014,6.966,
gm-4-ep-51,2188286.737,6025870.341,6.976,
gm-4-ep-52,2188287.037,6025868.673,7.012,
gm-4-ep-53,2188287.435,6025866.478,6.969,
gm-4-ep-54,2188287.860,6025864.937,6.892,
gm-4-ep-55,2188288.070,6025864.456,4.599,
gm-4-ep-56,2188288.289,6025863.293,4.326,
gm-4-ep-57,2188288.684,6025862.278,4.016,
gm-4-ep-58,2188288.662,6025861.121,3.750,
gm-4-ep-59,2188288.988,6025860.659,3.690,
benchmarl-final-0708-1,2188683.980,6026845.799,27.008,
benchmarl-final-0708-2,2188683.992,6026845.802,27.018,
benchmarl-final-0708-3,2188683.983,6026845.810,27.007,
