Official_ID,Point_ID,Northing,Easting,Elevation_ussft
,s2-c-green-2-a,2167074.384,5983891.916,5.638
,s2-c-green-2-b,2167073.637,5983892.147,5.626
,s2-c-green-2-c,2167073.095,5983892.351,5.657
,s2-c-tile-6-a,2167069.829,5983879.783,5.677
,s2-c-tile-6-b,2167069.333,5983879.939,5.683
,s2-c-tile-6-c,2167068.805,5983880.12,5.692
,s2-c-green-6-a,2167068.299,5983880.245,5.666
,s2-c-green-6-b,2167067.67,5983880.598,5.656
,s2-c-green-6-c,2167067.155,5983880.907,5.659
,s2-c-tile-12-a,2167061.05,5983862.23,5.724
,s2-c-tile-12-b,2167060.591,5983862.481,5.693
,s2-c-tile-12-c,2167060.244,5983862.625,5.702
,s2-c-green-12-a,2167059.685,5983863.099,5.683
,s2-c-green-12-b,2167059.19,5983863.447,5.69
,s2-c-green-12-c,2167058.619,5983863.721,5.683
,s2-c-tile-18-a,2167052.348,5983844.19,5.701
,s2-c-tile-18-b,2167052.015,5983844.448,5.674
,s2-c-tile-18-c,2167051.653,5983844.761,5.701
,s2-c-green-18-a,2167051.062,5983845.229,5.687
,s2-c-green-18-b,2167050.442,5983845.445,5.68
,s2-c-green-18-c,2167049.92,5983845.839,5.668
,s2-c-tile-24-a,2167043.746,5983826.995,5.777
,s2-c-tile-24-b,2167043.389,5983827.288,5.744
,s2-c-tile-24-c,2167042.735,5983827.479,5.701
,s2-c-green-24-a,2167042.11,5983827.744,5.714
,s2-c-green-24-b,2167041.445,5983828.073,5.724
,s2-c-green-24-c,2167040.842,5983828.359,5.739
,s2-c-tile-48-a,2167007.45,5983757.107,5.64
,s2-c-tile-48-b,2167007.106,5983757.221,5.647
,s2-c-tile-48-c,2167006.688,5983757.32,5.673
,s2-c-green-48-a,2167005.926,5983757.525,5.684
,s2-c-green-48-b,2167005.335,5983757.805,5.737
,s2-c-green-48-c,2167004.689,5983758.042,5.757
,s2-c-ep-1,2167082.645,5983901.773,1.964
,s2-c-ep-2,2167081.952,5983900.974,2.117
,s2-c-ep-3,2167081.465,5983900.736,2.192
,s2-c-ep-4,2167081.001,5983900.126,4.151
,s2-c-ep-5,2167080.391,5983899.319,4.576
,s2-c-ep-6,2167079.811,5983898.761,5.09
,s2-c-ep-7,2167078.947,5983897.215,5.371
,s2-c-ep-8,2167077.468,5983895.449,5.479
,s2-c-ep-9,2167076.186,5983893.25,5.551
,s2-c-ep-10,2167074.379,5983890.342,5.588
,s2-c-ep-11,2167073.019,5983887.315,5.686
,s2-c-ep-12,2167071.323,5983883.764,5.684
,s2-c-ep-13,2167070.443,5983880.053,5.656
,s2-c-ep-14,2167068.344,5983876.48,5.654
,s2-c-ep-15,2167066.708,5983874.139,5.684
,s2-c-ep-16,2167065.196,5983871.68,5.666
,s2-c-ep-17,2167063.703,5983868.718,5.678
,s2-c-ep-18,2167062.746,5983865.722,5.709
,s2-c-ep-19,2167061.221,5983862.562,5.658
,s2-c-ep-20,2167059.362,5983858.509,5.692
,s2-c-ep-21,2167057.834,5983856.431,5.659
,s2-c-ep-22,2167055.861,5983852.895,5.658
,s2-c-ep-23,2167053.963,5983849.622,5.677
,s2-c-ep-24,2167053.014,5983846.969,5.696
,s2-c-ep-25,2167050.308,5983840.751,5.722
,s2-c-ep-26,2167049.002,5983838.019,5.74
,s2-c-ep-27,2167046.613,5983833.848,5.75
,s2-c-ep-28,2167044.89,5983829.595,5.712
,s2-c-ep-29,2167043.897,5983826.922,5.725
,s2-c-ep-30,2167042.022,5983823.53,5.744
,s2-c-ep-31,2167039.833,5983819.661,5.756
,s2-c-ep-32,2167037.714,5983816.006,5.748
,s2-c-ep-33,2167035.526,5983812.054,5.748
,s2-c-ep-34,2167033.44,5983809.313,5.682
,s2-c-ep-35,2167031.53,5983805.641,5.625
,s2-c-ep-36,2167029.174,5983800.944,5.758
,s2-c-ep-37,2167027.206,5983797.17,5.777
,s2-c-ep-38,2167024.605,5983792.3,5.725
,s2-c-ep-39,2167021.888,5983787.586,5.706
,s2-c-ep-40,2167019.857,5983782.54,5.703
,s2-c-ep-41,2167017.074,5983777.351,5.642
,s2-c-ep-42,2167015.044,5983772.607,5.63
,s2-c-ep-43,2167012.936,5983769.177,5.728
,s2-c-ep-44,2167011.023,5983765.942,5.725
,s2-c-ep-45,2167009.15,5983762.388,5.696
,s2-c-ep-46,2167007.838,5983758.476,5.579
,s2-c-ep-47,2167005.927,5983754.115,5.717
,s2-c-ep-48,2167003.841,5983751.09,5.602
,s2-c-ep-49,2167001.33,5983746.039,5.661
,s2-c-ep-50,2166999.615,5983742.571,5.577
,s2-c-ep-51,2166996.909,5983739.599,5.703
,s2-c-ep-52,2166993.078,5983736.109,5.698
,s2-c-ep-53,2166991.13,5983731.612,5.762
,s2-c-ep-54,2166988.38,5983726.107,5.739
,s2-c-ep-55,2166987.356,5983722.349,5.659
,s2-c-ep-56,2166985.032,5983717.117,5.707
,s2-c-ep-57,2166983.383,5983711.813,5.87
,s2-c-ep-58,2166981.608,5983709.179,5.74
,s2-c-ep-59,2166978.388,5983705.046,5.634
,s2-c-ep-60,2166976.374,5983699.9,5.805
,s2-c-ep-61,2166973.979,5983696.387,5.773
,s2-c-ep-62,2166972.026,5983691.567,5.904
,s2-c-ep-63,2166971.65,5983688.969,5.845
BM4,benchmark-final-1,2169921.028,5975028.159,17.339
BM5,benchmark-final-2,2169921.031,5975028.145,17.35
BM6,benchmark-final-3,2169921.028,5975028.151,17.352
