Location,FileName,SurveyDate,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-6,ep,C4,elevation profile,,,6.0,1736527.641,6416460.846,2.933,0.893980188,-2.21,37.9294525,-122.5033628,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-7,ep,C4,elevation profile,,,7.0,1736528.492,6416462.206,4.461,1.359715519,-1.72,37.9294548,-122.5033581,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-8,ep,C4,elevation profile,,,8.0,1736527.082,6416461.144,5.157,1.571856744,-1.18,37.9294509,-122.5033618,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-9,ep,C4,elevation profile,,,9.0,1736525.41,6416459.052,5.505,1.677927356,-0.36,37.9294463,-122.503369,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-10pin,ep,C4,elevation profile,,,10.0,1736524.338,6416458.532,5.515,1.680975362,0.0,37.9294434,-122.5033708,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-11,ep,C4,elevation profile,,,11.0,1736522.509,6416454.271,5.591,1.704140208,1.41,37.9294383,-122.5033855,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-12,ep,C4,elevation profile,,,12.0,1736519.931,6416448.763,5.697,1.736449073,3.27,37.9294311,-122.5034045,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-13,ep,C4,elevation profile,,,13.0,1736517.106,6416443.997,5.712,1.741021082,4.96,37.9294233,-122.503421,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-14,ep,C4,elevation profile,,,14.0,1736514.067,6416439.068,5.618,1.712369825,6.72,37.9294149,-122.503438,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-15,ep,C4,elevation profile,,,15.0,1736508.988,6416430.578,5.78,1.761747523,9.74,37.9294008,-122.5034674,CA zone II (EPSG:2226)
