Location,FileName,SurveyDate,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-20,ep,GM5,elevation profile,,,20.0,2188363.237,6025919.167,6.592,2.009245618,8.93,37.9902658,-122.3591699,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-21,ep,GM5,elevation profile,,,21.0,2188362.741,6025927.564,6.529,1.99004318,11.49,37.9902649,-122.3591408,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-22,ep,GM5,elevation profile,,,22.0,2188362.504,6025936.445,6.562,2.0001016,14.2,37.9902647,-122.3591099,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-23,ep,GM5,elevation profile,,,23.0,2188361.392,6025946.908,6.556,1.998272797,17.41,37.9902622,-122.3590736,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-24,ep,GM5,elevation profile,,,24.0,2188360.132,6025954.781,6.402,1.951333503,19.84,37.9902592,-122.3590462,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-25,ep,GM5,elevation profile,,,25.0,2188360.832,6025958.583,6.446,1.964744729,21.02,37.9902613,-122.359033,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-26,ep,GM5,elevation profile,,,26.0,2188361.089,6025959.671,6.462,1.969621539,21.36,37.9902621,-122.3590293,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-27,ep,GM5,elevation profile,,,27.0,2188361.73,6025963.631,6.51,1.984251968,22.58,37.9902641,-122.3590156,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-28,ep,GM5,elevation profile,,,28.0,2188362.443,6025969.256,6.489,1.977851156,24.31,37.9902663,-122.3589961,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-29,ep,GM5,elevation profile,,,29.0,2188363.153,6025978.033,6.476,1.973888748,26.99,37.9902688,-122.3589657,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-30,ep,GM5,elevation profile,,,30.0,2188364.526,6025985.707,6.461,1.969316739,29.37,37.9902729,-122.3589392,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-31,ep,GM5,elevation profile,,,31.0,2188364.674,6025993.107,6.566,2.001320803,31.62,37.9902738,-122.3589135,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-32,ep,GM5,elevation profile,,,32.0,2188364.128,6026001.317,6.494,1.979375159,34.13,37.9902727,-122.358885,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-33,ep,GM5,elevation profile,,,33.0,2188364.627,6026008.224,6.472,1.972669545,36.24,37.9902745,-122.3588611,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-34,ep,GM5,elevation profile,,,34.0,2188363.975,6026014.472,6.541,1.993700787,38.16,37.990273,-122.3588393,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-35,ep,GM5,elevation profile,,,35.0,2188363.648,6026021.363,6.533,1.991262383,40.26,37.9902725,-122.3588154,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-36,ep,GM5,elevation profile,,,36.0,2188362.898,6026025.569,6.688,2.038506477,41.56,37.9902707,-122.3588008,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-37,ep,GM5,elevation profile,,,37.0,2188362.751,6026030.632,6.921,2.109525019,43.11,37.9902705,-122.3587832,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-38,ep,GM5,elevation profile,,,38.0,2188362.686,6026037.145,7.043,2.146710693,45.09,37.9902707,-122.3587606,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-39,ep,GM5,elevation profile,,,39.0,2188362.744,6026042.639,7.126,2.172009144,46.77,37.9902712,-122.3587415,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-40,ep,GM5,elevation profile,,,40.0,2188362.363,6026048.149,6.791,2.06990094,48.45,37.9902704,-122.3587224,CA zone III (EPSG:2227)
