Location,FileName,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
San Pablo,san-pablo-final.csv,s1-green-24-b,green,S1,green,24,b,,1804184.377,6425343.063,6.688,2.039,23.33,38.1153523,-122.4737955,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-24-c,green,S1,green,24,c,,1804184.398,6425342.559,6.704,2.043,23.33,38.1153524,-122.4737973,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-48-a,green,S1,green,48,a,,1804263.413,6425345.714,6.745,2.056,47.43,38.1155694,-122.4737877,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-48-b,green,S1,green,48,b,,1804263.381,6425345.091,6.668,2.032,47.41,38.1155693,-122.4737899,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-48-c,green,S1,green,48,c,,1804263.319,6425344.284,6.668,2.032,47.39,38.1155691,-122.4737927,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-0.5a,green,S2,green,0.5,a,,1804096.416,6425225.36,5.719,1.743,0.07,38.1151091,-122.4742030,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-0.5b,green,S2,green,0.5,b,,1804096.407,6425224.875,5.777,1.761,0.09,38.1151091,-122.4742047,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-0.5c,green,S2,green,0.5,c,,1804096.368,6425224.022,5.701,1.738,0.10,38.1151090,-122.4742076,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-2a,green,S2,green,2,a,,1804100.812,6425224.547,5.802,1.768,1.43,38.1151212,-122.4742059,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-2b,green,S2,green,2,b,,1804100.884,6425223.917,5.777,1.761,1.48,38.1151214,-122.4742081,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-2c,green,S2,green,2,c,,1804100.868,6425223.072,5.851,1.783,1.50,38.1151213,-122.4742110,CA zone II (EPSG:2226)
